# 0.00118547 806 479
x	y	fit
3031.8	2361.22	0.886683
846.457	3793.23	0.8862
471.124	3142.32	0.885176
509.914	1059.39	0.885128
432.335	5225.24	0.884841
663.435	4704.51	0.884828
519.202	3532.87	0.884693
1741.36	6266.7	0.884537
4331.53	929.211	0.883982
7940.63	6266.7	0.88503
2626.97	6266.7	0.883829
2752.62	2491.4	0.88362
8730.09	5485.61	0.883664
2425.37	2231.04	0.883086
3512.58	6266.7	0.88278
8768.88	3402.68	0.882656
1356.73	3142.32	0.882287
1077.56	3272.5	0.882178
7055.02	6266.7	0.884046
807.668	5876.15	0.881852
5283.8	6266.7	0.882338
6169.41	6266.7	0.882967
4398.19	6266.7	0.882088
1125.63	3663.05	0.881485
1635.91	3012.13	0.880819
4052.36	1059.39	0.880122
8480.41	1059.39	0.880029
8498.99	6006.34	0.879282
4148.51	1840.49	0.87932
567.279	3923.41	0.879079
702.224	2621.59	0.878991
557.991	1449.94	0.878779
1134.92	6136.52	0.878019
750.302	3012.13	0.877936
7873.98	929.211	0.877752
606.069	1840.49	0.877549
4100.43	1449.94	0.87715
615.357	4313.96	0.876364
654.147	2231.04	0.876303
3407.13	3012.13	0.876628
6988.37	929.211	0.875477
1395.52	1059.39	0.875205
5217.15	929.211	0.875268
2146.19	2361.22	0.874897
6102.76	929.211	0.874694
8528.49	1449.94	0.874618
8219.81	6136.52	0.875354
2098.11	1970.67	0.874632
4061.64	3532.87	0.875193
798.38	3402.68	0.874125
1221.79	4444.14	0.873961
8624.64	2231.04	0.873798
8450.91	5615.79	0.874132
2473.45	2621.59	0.873226
8672.72	2621.59	0.872859
837.169	1319.76	0.872798
759.59	5485.61	0.87275
3734.39	3272.5	0.873332
8576.57	1840.49	0.872571
1722.78	1319.76	0.872483
8720.8	3012.13	0.872459
894.535	4183.78	0.872065
2906.14	6136.52	0.871839
2020.53	6136.52	0.871751
8682.01	5095.06	0.872587
711.512	5095.06	0.871567
8633.93	4704.51	0.871401
942.612	4574.33	0.871154
8585.85	4313.96	0.871221
3079.88	2751.77	0.871009
990.69	4964.88	0.870447
1086.85	5745.97	0.870112
7334.2	6136.52	0.872881
1414.1	6006.34	0.869853
3791.75	6136.52	0.869931
1029.48	2881.95	0.869814
5562.98	6136.52	0.87062
1549.05	4704.51	0.869534
6448.59	6136.52	0.870408
4340.82	3402.68	0.870832
1269.87	4834.69	0.869326
4677.37	6136.52	0.869724
8537.78	3923.41	0.869113
4379.61	1319.76	0.868542
8171.73	5745.97	0.868068
2107.4	4444.14	0.86795
2194.27	2751.77	0.86806
885.247	1710.31	0.867823
1116.35	1189.58	0.867775
1828.22	4574.33	0.867699
8345.47	2361.22	0.867547
8402.83	5225.24	0.868343
8201.23	1189.58	0.867403
1443.6	1449.94	0.867444
933.324	2100.86	0.867165
2299.71	6006.34	0.866952
1693.28	5876.15	0.866882
8393.54	2751.77	0.866972
1867.01	2491.4	0.866908
8441.62	3142.32	0.866785
3455.21	3402.68	0.866888
2578.89	5876.15	0.86644
8489.7	3532.87	0.866517
1972.46	5745.97	0.866265
1876.3	4964.88	0.866237
2434.66	4704.51	0.865972
1818.94	2100.86	0.866024
3185.32	6006.34	0.865923
3782.47	3663.05	0.865971
2800.7	2881.95	0.865862
8354.75	4834.69	0.866928
7892.55	5876.15	0.866777
8306.68	4444.14	0.8654
7613.38	6006.34	0.867733
2203.56	5225.24	0.865178
4388.9	3793.23	0.865932
4620	3272.5	0.867793
2482.73	5095.06	0.864537
2858.07	5745.97	0.864486
1366.02	5615.79	0.864457
5842.15	6006.34	0.865666
6727.76	6006.34	0.868043
4070.93	6006.34	0.864745
2713.83	4574.33	0.864376
4109.72	3923.41	0.864344
4956.54	6006.34	0.865135
3464.5	5876.15	0.864326
4716.16	4053.6	0.865239
7594.8	1059.39	0.864198
3127.96	3142.32	0.864392
981.402	2491.4	0.864139
4937.97	1059.39	0.86429
4475.77	2100.86	0.864005
5235.72	5876.15	0.864842
4995.33	3923.41	0.869579
6121.33	5876.15	0.865336
7006.94	5876.15	0.86696
1038.77	5355.42	0.86309
8249.31	1580.12	0.862918
4350.11	5876.15	0.863482
1597.12	5095.06	0.862751
4658.79	1189.58	0.862979
6709.19	1059.39	0.862832
1308.66	2751.77	0.862642
5823.58	1059.39	0.862812
2251.63	5615.79	0.862416
3503.29	3793.23	0.862348
1317.95	5225.24	0.862306
4668.08	3663.05	0.864506
1770.86	1710.31	0.862047
3743.68	5745.97	0.861955
4947.26	3532.87	0.869651
1164.42	1580.12	0.861659
5514.9	5745.97	0.864039
1260.58	2361.22	0.861478
8297.39	1970.67	0.861344
7286.12	5745.97	0.866365
2386.58	4313.96	0.861183
6400.51	5745.97	0.864513
1924.38	5355.42	0.861104
7922.05	1319.76	0.86107
2242.35	3142.32	0.861075
4629.29	5745.97	0.86223
2155.48	4834.69	0.860873
2521.52	3012.13	0.860956
1915.09	2881.95	0.860847
4427.69	1710.31	0.860888
7315.62	1189.58	0.860554
1587.84	2621.59	0.860522
3176.03	3532.87	0.86
2993.01	4444.14	0.859826
5544.4	1189.58	0.859876
2338.5	3923.41	0.859679
2761.91	4964.88	0.859661
3137.24	5615.79	0.859613
4436.98	4183.78	0.859742
6430.01	1189.58	0.859733
1539.76	2231.04	0.859481
1212.5	1970.67	0.858738
2665.76	4183.78	0.858641
1491.68	1840.49	0.858514
7565.3	5615.79	0.861133
5226.43	3402.68	0.86717
5265.22	1319.76	0.858472
7036.44	1319.76	0.858162
1645.2	5485.61	0.857895
4908.47	5615.79	0.859673
5794.08	5615.79	0.862002
4022.85	5615.79	0.8581
4706.87	1580.12	0.858058
8258.6	4053.6	0.857913
6150.83	1319.76	0.857536
6679.69	5615.79	0.866489
3224.11	3923.41	0.857321
2944.93	4053.6	0.857034
2530.81	5485.61	0.857013
3830.54	4053.6	0.857047
7642.88	1449.94	0.856866
4899.18	3142.32	0.859311
7970.13	1710.31	0.856656
8123.65	5355.42	0.857325
8018.21	2100.86	0.85646
8210.52	3663.05	0.857047
4986.04	1449.94	0.856634
2896.86	3663.05	0.855844
4851.1	2751.77	0.856163
2617.68	3793.23	0.85524
8066.29	2491.4	0.855263
8114.37	2881.95	0.85524
6757.27	1449.94	0.855298
5871.66	1449.94	0.855556
8075.58	4964.88	0.857618
7363.7	1580.12	0.855015
5178.36	3012.13	0.856867
5274.51	3793.23	0.863996
2809.99	5355.42	0.854707
5457.53	2881.95	0.859651
8162.44	3272.5	0.854726
4803.02	2361.22	0.855127
4754.94	1970.67	0.854674
2569.6	3402.68	0.854298
3551.37	4183.78	0.854203
5592.48	1580.12	0.854526
6478.09	1580.12	0.854243
8027.5	4574.33	0.855001
7844.48	5485.61	0.855266
2848.78	3272.5	0.853826
5505.61	3272.5	0.860038
5130.28	2621.59	0.854969
7690.95	1840.49	0.853402
7979.42	4183.78	0.854285
3089.17	5225.24	0.853257
5043.41	4313.96	0.853624
7084.52	1710.31	0.853099
7739.03	2231.04	0.852919
4157.8	4313.96	0.852923
5313.3	1710.31	0.853322
7411.78	1970.67	0.852559
3041.09	4834.69	0.852387
4485.06	4574.33	0.852568
6198.91	1710.31	0.853239
3272.19	4313.96	0.852129
5187.64	5485.61	0.855293
5466.82	5355.42	0.85497
3416.42	5485.61	0.851869
7796.4	5095.06	0.853901
7787.11	2621.59	0.851887
4764.23	4444.14	0.852286
3320.27	4704.51	0.851672
5034.12	1840.49	0.852389
6805.34	1840.49	0.852136
3695.6	5355.42	0.851645
7931.34	3793.23	0.852882
7517.22	5225.24	0.857927
6073.25	5485.61	0.858101
4860.39	5225.24	0.853559
5919.73	1840.49	0.851559
5640.56	1970.67	0.851979
4302.03	5485.61	0.851716
6958.86	5485.61	0.865708
4581.21	5355.42	0.852123
7835.19	3012.13	0.851554
7238.04	5355.42	0.861595
6526.17	1970.67	0.851547
5746	5225.24	0.86239
7132.6	2100.86	0.851184
7459.85	2361.22	0.850937
7748.32	4704.51	0.857646
3878.62	4444.14	0.850922
6352.43	5355.42	0.862774
7883.27	3402.68	0.851051
5091.49	4704.51	0.851827
5082.2	2231.04	0.851596
5361.38	2100.86	0.851921
7700.24	4313.96	0.853249
3974.78	5225.24	0.85082
5370.67	4574.33	0.855999
5418.74	4964.88	0.857905
3368.34	5095.06	0.850394
5322.59	4183.78	0.854225
5139.57	5095.06	0.852901
6246.99	2100.86	0.85266
5553.69	3663.05	0.875348
6853.42	2231.04	0.851428
6631.61	5225.24	0.863103
3599.44	4574.33	0.85006
4812.31	4834.69	0.851261
7507.93	2751.77	0.850072
3926.7	4834.69	0.849831
5688.63	2361.22	0.852242
5967.81	2231.04	0.850657
7652.16	3923.41	0.850597
3647.52	4964.88	0.849714
4533.13	4964.88	0.850242
7180.68	2491.4	0.849771
4253.96	5095.06	0.849794
7469.14	4834.69	0.855607
5736.71	2751.77	0.857153
5409.46	2491.4	0.852217
5784.79	3142.32	0.854365
7604.09	3532.87	0.852559
7556.01	3142.32	0.849421
6574.24	2361.22	0.850447
4205.88	4704.51	0.849362
6025.18	5095.06	0.86301
7189.96	4964.88	0.858349
5601.77	4053.6	0.872656
7421.06	4444.14	0.855549
5832.87	3532.87	0.876695
6910.79	5095.06	0.858426
7372.99	4053.6	0.853241
7228.75	2881.95	0.849181
6901.5	2621.59	0.850328
6304.35	4964.88	0.868424
5697.92	4834.69	0.861052
6295.07	2491.4	0.849491
6015.89	2621.59	0.853107
7276.83	3272.5	0.849315
7324.91	3663.05	0.849222
6063.97	3012.13	0.85451
7141.89	4574.33	0.854946
5649.84	4444.14	0.859555
5977.1	4704.51	0.865784
7045.73	3793.23	0.849983
7093.81	4183.78	0.858502
6112.04	3402.68	0.858378
6622.32	2751.77	0.853122
6949.58	3012.13	0.850407
6997.65	3402.68	0.849428
6766.55	3923.41	0.855725
6343.14	2881.95	0.863855
6391.22	3272.5	0.855777
6718.48	3532.87	0.855479
6862.71	4704.51	0.858454
6439.3	3663.05	0.86038
6583.53	4834.69	0.863512
